"name","name_full","echantillon","Long_epsg2946","Lat_epsg2946"
"Re-01","Site recharge-1","Stations non-échantillonnées",279397.238759146,5233179.49990197
"Re-02","Site recharge-2","Stations faites",279128.079493888,5233111.0443297
"Re-03","Site recharge-3","Stations faites",279115.268394583,5233119.94255385
"Re-04","Site recharge-4","Stations faites",278997.20587682,5233134.43019106
"Re-05","Site recharge-5","Stations faites",278945.306025813,5233147.17247396
"Re-06","Site recharge-6","Stations non-échantillonnées",279468.399448361,5233251.96232926
"Re-07","Site recharge-7","Stations non-échantillonnées",279414.211649372,5233198.98039571
"Re-08","Site recharge-8","Stations faites",279141.23038812,5233115.55161082
"Re-09","Site recharge-9","Stations non-échantillonnées",279424.15721839,5233195.31756155
"Re-10","Site recharge-10","Stations faites",278925.053546667,5233161.10412448
"Re-11","Site recharge-11","Stations non-échantillonnées",279242.66709032,5233132.94587585
"Re-12","Site recharge-12","Stations faites",279119.808534741,5233110.24319849
"Re-13","Site recharge-13","Stations non-échantillonnées",279473.848637226,5233252.91698136
"Re-14","Site recharge-14","Stations faites",279065.784041438,5233112.51602205
"Re-15","Site recharge-15","Stations non-échantillonnées",279438.436654146,5233223.71064844
"Re-16","Site recharge-16","Stations non-échantillonnées",279363.057337437,5233164.02317678
"Re-17","Site recharge-17","Stations faites",279153.591416881,5233116.75852488
"Re-18","Site recharge-18","Stations non-échantillonnées",279358.485762887,5233156.88979167
"Re-19","Site recharge-19","Stations faites",279104.151413406,5233107.74917608
"Re-20","Site recharge-20","Stations faites",278917.024685747,5233167.07143991
"Re-21","Site recharge-21","Stations faites",279219.861039426,5233118.48559833
"Re-22","Site recharge-22","Stations faites",279000.236771187,5233134.78470934
"Re-23","Site recharge-23","Stations faites",279105.639178405,5233116.98430264
"Re-24","Site recharge-24","Stations faites",279081.37655898,5233115.97165734
"Re-25","Site recharge-25","Stations faites",279022.495998242,5233126.23758091
"Re-26","Site recharge-26","Stations non-échantillonnées",279352.521993033,5233152.49671297
"Re-27","Site recharge-27","Stations non-échantillonnées",279439.895715457,5233212.71539159
"Re-28","Site recharge-28","Stations faites",279049.42146011,5233118.1321375
"Re-29","Site recharge-29","Stations non-échantillonnées",279438.3453759,5233221.48065319
"Re-30","Site recharge-30","Stations non-échantillonnées",279434.231418307,5233207.2573584
"Re-31","Site recharge-31","Stations non-échantillonnées",279115.268707534,5233107.07053235
"Re-32","Site recharge-32","Stations non-échantillonnées",279250.653961813,5233125.44681726
"Re-33","Site recharge-33","Stations non-échantillonnées",279406.390382419,5233182.19262471
"Re-34","Site recharge-34","Stations non-échantillonnées",279080.956830172,5233120.12910886
"Re-35","Site recharge-35","Stations non-échantillonnées",279388.840977794,5233182.70998064
"Re-36","Site recharge-36","Stations non-échantillonnées",278979.29840611,5233136.33532059
